country,year,tiv
Belarus,1950,
Belarus,1951,
Belarus,1952,
Belarus,1953,
Belarus,1954,
Belarus,1955,
Belarus,1956,
Belarus,1957,
Belarus,1958,
Belarus,1959,
Belarus,1960,
Belarus,1961,
Belarus,1962,
Belarus,1963,
Belarus,1964,
Belarus,1965,
Belarus,1966,
Belarus,1967,
Belarus,1968,
Belarus,1969,
Belarus,1970,
Belarus,1971,
Belarus,1972,
Belarus,1973,
Belarus,1974,
Belarus,1975,
Belarus,1976,
Belarus,1977,
Belarus,1978,
Belarus,1979,
Belarus,1980,
Belarus,1981,
Belarus,1982,
Belarus,1983,
Belarus,1984,
Belarus,1985,
Belarus,1986,
Belarus,1987,
Belarus,1988,
Belarus,1989,
Belarus,1990,
Belarus,1991,
Belarus,1992,
Belarus,1993,
Belarus,1994,
Belarus,1995,
Belarus,1996,
Belarus,1997,
Belarus,1998,41
Belarus,1999,41
Belarus,2000,
Belarus,2001,
Belarus,2002,
Belarus,2003,
Belarus,2004,
Belarus,2005,6
Belarus,2006,140
Belarus,2007,
Belarus,2008,
Belarus,2009,3
Belarus,2010,
Belarus,2011,75
Belarus,2012,75
Belarus,2013,75
Belarus,2014,66
Belarus,2015,98
Belarus,2016,120
Belarus,2017,158
Belarus,2018,142
Belarus,2019,333
Belarus,2020,13
Belarus,2021,69
Belarus,2022,215
Belarus,2023,178
Belarus,2024,399
Belarus,2025,466
